t[s](1)              T[K](2)              P[Pa](3)             V[m3](4)             rho[kg/m3](5)        MW[kg/kmol](6)       Qgas[W/m3](7)        Qsurf[W/m2](8)       total[kg](9)         total[kg/m2/s](10)    total[kg/s](11)      D[kg](12)            D[kg/m2/s](13)       D[kg/s](14)          D[m](15)             D[micron](16)        D[m/s](17)           D[mm/hr](18)         
2.946709478177e+03   2.500000000000e+03   2.213741618387e+04   1.000000000000e-04   2.741939841503e-03   2.574572694403e+00   -5.292280365525e+02  5.295368967612e+01   5.910301239197e-08   1.392612810779e-08    1.392612810779e-11   5.910301239197e-08   1.392612810779e-08   1.392612810779e-11   1.681451277154e-08   1.681451277154e-02   3.961914113169e-12   1.426289080741e-05   
3.588792030358e+03   2.500000000000e+03   2.224278703392e+04   1.000000000000e-04   2.658993839685e-03   2.484862111758e+00   -5.336086066598e+02  5.336751338798e+01   6.739784101460e-08   1.195954299517e-08    1.195954299517e-11   6.739784101460e-08   1.195954299517e-08   1.195954299517e-11   1.917435021752e-08   1.917435021752e-02   3.402430439593e-12   1.224874958253e-05   
5.305084004150e+03   2.500000000000e+03   2.245733558891e+04   1.000000000000e-04   2.490539863874e-03   2.305204375730e+00   -5.404447505792e+02  5.420423222577e+01   8.424369706734e-08   7.938941920383e-09    7.938941920383e-12   8.424369706734e-08   7.938941920383e-09   7.938941920383e-12   2.396691239469e-08   2.396691239469e-02   2.258589451033e-12   8.130922023721e-06   
6.206794865003e+03   2.500000000000e+03   2.253950993300e+04   1.000000000000e-04   2.426170803347e-03   2.237438308610e+00   -5.452170606668e+02  5.452264246495e+01   9.068077641572e-08   6.393435615006e-09    6.393435615006e-12   9.068077641572e-08   6.393435615006e-09   6.393435615006e-12   2.579822942126e-08   2.579822942126e-02   1.818900601709e-12   6.548042166152e-06   
7.857065047335e+03   2.500000000000e+03   2.265081850497e+04   1.000000000000e-04   2.339109449902e-03   2.146549015955e+00   -5.488872161914e+02  5.495210906582e+01   9.938714451719e-08   4.295259146408e-09    4.295259146408e-12   9.938714451719e-08   4.295259146408e-09   4.295259146408e-12   2.827514780006e-08   2.827514780006e-02   1.221979842506e-12   4.399127433021e-06   
8.764724303181e+03   2.500000000000e+03   2.269562664125e+04   1.000000000000e-04   2.304103326143e-03   2.110250146704e+00   -5.503114810010e+02  5.512437220115e+01   1.028878499591e-07   3.449119438926e-09    3.449119438926e-12   1.028878499591e-07   3.449119438926e-09   3.449119438926e-12   2.927108106945e-08   2.927108106945e-02   9.812573083715e-13   3.532526310137e-06   
9.962468584284e+03   2.500000000000e+03   2.274155987951e+04   1.000000000000e-04   2.268241993489e-03   2.073210037967e+00   -5.506940421106e+02  5.530054483616e+01   1.064740782566e-07   2.580847343141e-09    2.580847343141e-12   1.064740782566e-07   2.580847343141e-09   2.580847343141e-12   3.029134516548e-08   3.029134516548e-02   7.342382199547e-13   2.643257591837e-06   
1.059713060309e+04   2.500000000000e+03   2.276101434289e+04   1.000000000000e-04   2.253060368004e-03   2.057573616511e+00   -5.536874530498e+02  5.537500986924e+01   1.079922809430e-07   2.212828977777e-09    2.212828977777e-12   1.079922809430e-07   2.212828977777e-09   2.212828977777e-12   3.072326627113e-08   3.072326627113e-02   6.295388272480e-13   2.266339778093e-06   
1.172350626229e+04   2.500000000000e+03   2.278897042654e+04   1.000000000000e-04   2.231251244619e-03   2.035157091537e+00   -5.547858770069e+02  5.548181697745e+01   1.101732508450e-07   1.683696323538e-09    1.683696323538e-12   1.101732508450e-07   1.683696323538e-09   1.683696323538e-12   3.134374134992e-08   3.134374134992e-02   4.790032214901e-13   1.724411597364e-06   
1.310952541539e+04   2.500000000000e+03   2.281437798040e+04   1.000000000000e-04   2.211436470060e-03   2.014837390336e+00   -5.561233683001e+02  5.557858636494e+01   1.121547805021e-07   1.202486094516e-09    1.202486094516e-12   1.121547805021e-07   1.202486094516e-09   1.202486094516e-12   3.190747667199e-08   3.190747667199e-02   3.421013071170e-13   1.231564705621e-06   
1.444631222894e+04   2.500000000000e+03   2.283197924665e+04   1.000000000000e-04   2.197711951102e-03   2.000789389168e+00   -5.577596875257e+02  5.564532349778e+01   1.135272684997e-07   8.689226981678e-10    8.689226981678e-13   1.135272684997e-07   8.689226981678e-10   8.689226981678e-13   3.229794267418e-08   3.229794267418e-02   2.472041815556e-13   8.899350536000e-07   
1.509365775723e+04   2.500000000000e+03   2.283865395447e+04   1.000000000000e-04   2.192507473173e-03   1.995467894693e+00   -5.566956378849e+02  5.567052082622e+01   1.140477299712e-07   7.423772017373e-10    7.423772017373e-13   1.140477299712e-07   7.423772017373e-10   7.423772017373e-13   3.244601137162e-08   3.244601137162e-02   2.112026178484e-13   7.603294242544e-07   
1.637643275563e+04   2.500000000000e+03   2.284914442643e+04   1.000000000000e-04   2.184326980980e-03   1.987109840791e+00   -5.571295593178e+02  5.570989967354e+01   1.148658006779e-07   5.434101095094e-10    5.434101095094e-13   1.148658006779e-07   5.434101095094e-10   5.434101095094e-13   3.267874841476e-08   3.267874841476e-02   1.545974706997e-13   5.565508945189e-07   
1.721072743125e+04   2.500000000000e+03   2.285440503444e+04   1.000000000000e-04   2.180223919937e-03   1.982920702214e+00   -5.572863818491e+02  5.572948693225e+01   1.152761175536e-07   4.435871420273e-10    4.435871420273e-13   1.152761175536e-07   4.435871420273e-10   4.435871420273e-13   3.279548152308e-08   3.279548152308e-02   1.261983334359e-13   4.543140003694e-07   
1.822701598395e+04   2.500000000000e+03   2.285952423739e+04   1.000000000000e-04   2.176230052654e-03   1.978845021638e+00   -5.574777655062e+02  5.574837859571e+01   1.156755147629e-07   3.464031056757e-10    3.464031056757e-13   1.156755147629e-07   3.464031056757e-10   3.464031056757e-13   3.290910804065e-08   3.290910804065e-02   9.854995894045e-14   3.547798521856e-07   
1.993649986746e+04   2.500000000000e+03   2.286572992832e+04   1.000000000000e-04   2.171385844781e-03   1.973904328388e+00   -5.577026245299e+02  5.577090993413e+01   1.161599482577e-07   2.285044405488e-10    2.285044405488e-13   1.161599482577e-07   2.285044405488e-10   2.285044405488e-13   3.304692695808e-08   3.304692695808e-02   6.500837568956e-14   2.340301524824e-07   
2.141061134829e+04   2.500000000000e+03   2.286935246411e+04   1.000000000000e-04   2.168555590893e-03   1.971019216713e+00   -5.578334347135e+02  5.578374405140e+01   1.164429810685e-07   1.596101235192e-10    1.596101235192e-13   1.164429810685e-07   1.596101235192e-10   1.596101235192e-13   3.312744838364e-08   3.312744838364e-02   4.540828549621e-14   1.634698277864e-07   
2.319509967543e+04   2.500000000000e+03   2.287230625528e+04   1.000000000000e-04   2.166245435786e-03   1.968665224891e+00   -5.579370374217e+02  5.579391329922e+01   1.166740026360e-07   1.033701187827e-10    1.033701187827e-13   1.166740026360e-07   1.033701187827e-10   1.033701187827e-13   3.319317286940e-08   3.319317286940e-02   2.940828414871e-14   1.058698229354e-07   
2.429164528493e+04   2.500000000000e+03   2.287357694428e+04   1.000000000000e-04   2.165250649744e-03   1.967651857441e+00   -5.579801236031e+02  5.579816823535e+01   1.167734838479e-07   7.915078411026e-11    7.915078411026e-14   1.167734838479e-07   7.915078411026e-11   7.915078411026e-14   3.322147477893e-08   3.322147477893e-02   2.251800401430e-14   8.106481445148e-08   
2.567385315424e+04   2.500000000000e+03   2.287476260756e+04   1.000000000000e-04   2.164321703455e-03   1.966705740767e+00   -5.580193338789e+02  5.580205091965e+01   1.168663809117e-07   5.653358934145e-11    5.653358934145e-14   1.168663809117e-07   5.653358934145e-11   5.653358934145e-14   3.324790353108e-08   3.324790353108e-02   1.608352470596e-14   5.790068894146e-08   
2.718882925736e+04   2.500000000000e+03   2.287567604274e+04   1.000000000000e-04   2.163605453398e-03   1.965976383388e+00   -5.580488939737e+02  5.580497122338e+01   1.169380077948e-07   3.909443226211e-11    3.909443226211e-14   1.169380077948e-07   3.909443226211e-11   3.909443226211e-14   3.326828102271e-08   3.326828102271e-02   1.112217134057e-14   4.003981682606e-08   
2.868988853989e+04   2.500000000000e+03   2.287630244447e+04   1.000000000000e-04   2.163113918542e-03   1.965475926163e+00   -5.580687348695e+02  5.580693122508e+01   1.169871625687e-07   2.712636702623e-11    2.712636702623e-14   1.169871625687e-07   2.712636702623e-11   2.712636702623e-14   3.328226531116e-08   3.328226531116e-02   7.717316365925e-15   2.778233891733e-08   
3.151765036903e+04   2.500000000000e+03   2.287700850220e+04   1.000000000000e-04   2.162559471016e-03   1.964911491709e+00   -5.580907795364e+02  5.580909181580e+01   1.170426105185e-07   1.362625871956e-11    1.362625871956e-14   1.170426105185e-07   1.362625871956e-11   1.362625871956e-14   3.329803997680e-08   3.329803997680e-02   3.876602765168e-15   1.395576995460e-08   
3.528093349593e+04   2.500000000000e+03   2.287743578884e+04   1.000000000000e-04   2.162223695963e-03   1.964569711586e+00   -5.581035900763e+02  5.581037085463e+01   1.170761871597e-07   5.450445263317e-12    5.450445263317e-15   1.170761871597e-07   5.450445263317e-12   5.450445263317e-15   3.330759236407e-08   3.330759236407e-02   1.550624541484e-15   5.582248349343e-09   
3.904421662284e+04   2.500000000000e+03   2.287760663034e+04   1.000000000000e-04   2.162089387758e-03   1.964433011044e+00   -5.581086944586e+02  5.581087561536e+01   1.170896183322e-07   2.180142512997e-12    2.180142512997e-15   1.170896183322e-07   2.180142512997e-12   2.180142512997e-15   3.331141346577e-08   3.331141346577e-02   6.202396907531e-16   2.232862886711e-09   
4.280749974974e+04   2.500000000000e+03   2.287767495382e+04   1.000000000000e-04   2.162035665412e-03   1.964378333376e+00   -5.581107445478e+02  5.581107636308e+01   1.170949907076e-07   8.720408600173e-13    8.720408600173e-16   1.170949907076e-07   8.720408600173e-13   8.720408600173e-16   3.331294187982e-08   3.331294187982e-02   2.480912830775e-16   8.931286190789e-10   
4.657078287665e+04   2.500000000000e+03   2.287770228074e+04   1.000000000000e-04   2.162014176881e-03   1.964356462982e+00   -5.581115571366e+02  5.581115647239e+01   1.170971396170e-07   3.488095847161e-13    3.488095847161e-16   1.170971396170e-07   3.488095847161e-13   3.488095847161e-16   3.331355323385e-08   3.331355323385e-02   9.923459024641e-17   3.572445248871e-10   
5.033406600355e+04   2.500000000000e+03   2.287771321098e+04   1.000000000000e-04   2.162005581637e-03   1.964347715037e+00   -5.581118818254e+02  5.581118848510e+01   1.170980009089e-07   1.395210822803e-13    1.395210822803e-16   1.170980009089e-07   1.395210822803e-13   1.395210822803e-16   3.331379826710e-08   3.331379826710e-02   3.969305328032e-17   1.428949918092e-10   
5.409734913046e+04   2.500000000000e+03   2.287771758294e+04   1.000000000000e-04   2.162002143607e-03   1.964344215935e+00   -5.581120116383e+02  5.581120128508e+01   1.170983429759e-07   5.580732463801e-14    5.580732463801e-17   1.170983429759e-07   5.580732463801e-14   5.580732463801e-17   3.331389558348e-08   3.331389558348e-02   1.587690601366e-17   5.715686164917e-11   
5.786063225736e+04   2.500000000000e+03   2.287771933168e+04   1.000000000000e-04   2.162000768423e-03   1.964342816323e+00   -5.581120635469e+02  5.581120640418e+01   1.170984804980e-07   2.232248533099e-14    2.232248533099e-17   1.170984804980e-07   2.232248533099e-14   2.232248533099e-17   3.331393470782e-08   3.331393470782e-02   6.350635940538e-18   2.286228938594e-11   
6.162391538427e+04   2.500000000000e+03   2.287772003116e+04   1.000000000000e-04   2.162000218360e-03   1.964342256490e+00   -5.581120843218e+02  5.581120845165e+01   1.170985355057e-07   8.928816130583e-15    8.928816130583e-18   1.170985355057e-07   8.928816130583e-15   8.928816130583e-18   3.331395035725e-08   3.331395035725e-02   2.540203735585e-18   9.144733448107e-12   
6.546270664858e+04   2.500000000000e+03   2.287772031435e+04   1.000000000000e-04   2.161999995667e-03   1.964342029841e+00   -5.581120927393e+02  5.581120928053e+01   1.170985577756e-07   3.506392987283e-15    3.506392987283e-18   1.170985577756e-07   3.506392987283e-15   3.506392987283e-18   3.331395669291e-08   3.331395669291e-02   9.975513477334e-19   3.591184851840e-12   
