t[s](1)              T[K](2)              P[Pa](3)             V[m3](4)             rho[kg/m3](5)        MW[kg/kmol](6)       Qgas[W/m3](7)        Qsurf[W/m2](8)       bulk[kg](9)          D[kg](10)            DIAMOND(11)          CH(S)_z(12)          C(S,R)_z(13)         CH3(S)_z(14)         CH2(S)_z(15)         CH3_x(16)            C2H6_x(17)           CH4_x(18)            H_x(19)              H2_x(20)             CH3_w(21)            C2H6_w(22)           CH4_w(23)            H_w(24)              H2_w(25)             
6.907681864192e-01   2.500000000000e+03   2.139244332501e+04   1.000000000000e-04   3.332767118718e-03   3.238312411972e+00   -5.028934345911e+02  5.036532806613e+01   1.964616260377e-11   1.964616260377e-11   5.220000000000e-08   9.744805031915e-01   1.582146823563e-07   1.627861649743e-02   9.240722096358e-03   5.507052851385e-02   1.479959412432e-04   3.934729859357e-02   5.032464057082e-02   8.551095363805e-01   2.556842194029e-01   1.374245998095e-03   1.949313781297e-01   1.566471422700e-02   5.323454422423e-01   
1.188736352772e+00   2.500000000000e+03   2.139255321399e+04   1.000000000000e-04   3.332621651512e-03   3.238154433691e+00   -5.006734367947e+02  5.015014028286e+01   3.357207409827e-11   3.357207409827e-11   5.220000000000e-08   9.656169069702e-01   1.567760489434e-07   1.921351817215e-02   1.516941808156e-02   5.506350392624e-02   1.479589480834e-04   3.934264499866e-02   5.032485028889e-02   8.551210418381e-01   2.556640776460e-01   1.373969518608e-03   1.949178325441e-01   1.566554373667e-02   5.323785765547e-01   
1.876355872831e+00   2.500000000000e+03   2.139276018252e+04   1.000000000000e-04   3.332427629702e-03   3.237934585317e+00   -4.994747883098e+02  5.002443824131e+01   5.266498814507e-11   5.266498814507e-11   5.220000000000e-08   9.608115441800e-01   1.559964680760e-07   2.028578752320e-02   1.890251230031e-02   5.505369401407e-02   1.479076640933e-04   3.933619582043e-02   5.032508023752e-02   8.551371222639e-01   2.556358853855e-01   1.373586544661e-03   1.948991132665e-01   1.566667897657e-02   5.324247358267e-01   
2.913877872647e+00   2.500000000000e+03   2.139310959951e+04   1.000000000000e-04   3.332139525802e-03   3.237601769663e+00   -4.990773363925e+02  4.998020271833e+01   8.137762057659e-11   8.137762057659e-11   5.220000000000e-08   9.591803256335e-01   1.557325460434e-07   2.051245520906e-02   2.030706342488e-02   5.503882063292e-02   1.478301715489e-04   3.932645061752e-02   5.032538695874e-02   8.551615116193e-01   2.555930939408e-01   1.373008014688e-03   1.948708587688e-01   1.566838495878e-02   5.324946543170e-01   
4.313253866934e+00   2.500000000000e+03   2.139359286886e+04   1.000000000000e-04   3.331752543834e-03   3.237152639822e+00   -4.990402365083e+02  4.997554641858e+01   1.200641321209e-10   1.200641321209e-10   5.220000000000e-08   9.589671040538e-01   1.556991696849e-07   2.052131310697e-02   2.051142714006e-02   5.501874218589e-02   1.477256698376e-04   3.931330502577e-02   5.032578739808e-02   8.551944397204e-01   2.555353008798e-01   1.372227789654e-03   1.948327473725e-01   1.567068351647e-02   5.325890404416e-01   
6.538289872288e+00   2.500000000000e+03   2.139436295800e+04   1.000000000000e-04   3.331137734661e-03   3.236438787531e+00   -4.990690311284e+02  4.997831355011e+01   1.815462105872e-10   1.815462105872e-10   5.220000000000e-08   9.589777204455e-01   1.557028678012e-07   2.050991281890e-02   2.051221103271e-02   5.498682901500e-02   1.475596568127e-04   3.929241116553e-02   5.032642155319e-02   8.552467786095e-01   2.554434097380e-01   1.370988018448e-03   1.947721504002e-01   1.567433746529e-02   5.327391143780e-01   
1.226361233290e+01   2.500000000000e+03   2.139634292422e+04   1.000000000000e-04   3.329557201289e-03   3.234603836033e+00   -4.991509352907e+02  4.998637946626e+01   3.396041732092e-10   3.396041732092e-10   5.220000000000e-08   9.590363309082e-01   1.557174591737e-07   2.048056498114e-02   2.048294839318e-02   5.490480185062e-02   1.471333532982e-04   3.923869775545e-02   5.032805088207e-02   8.553813161586e-01   2.552070431950e-01   1.367802697941e-03   1.946162343126e-01   1.568373707467e-02   5.331251827198e-01   
6.676073045277e+01   2.500000000000e+03   2.141506412828e+04   1.000000000000e-04   3.314615684396e-03   3.217273401435e+00   -4.999135858338e+02  5.006262850813e+01   1.833799608340e-09   1.833799608340e-09   5.220000000000e-08   9.595906030145e-01   1.558553903246e-07   2.020344680923e-02   2.020579432088e-02   5.413047515366e-02   1.431376833616e-04   3.873096901915e-02   5.034339830854e-02   8.566520198353e-01   2.529631702608e-01   1.337825395552e-03   1.931327706865e-01   1.577302889104e-02   5.367932047661e-01   
7.566583136845e+02   2.500000000000e+03   2.163338294883e+04   1.000000000000e-04   3.140757666632e-03   3.017756243471e+00   -5.112038766701e+02  5.094673140048e+01   1.922010557248e-08   1.922010557248e-08   5.220000000000e-08   9.659788104725e-01   1.574451038466e-07   1.700954501102e-02   1.701148707138e-02   4.526665039949e-02   1.011188420803e-04   3.283038438214e-02   5.051475806016e-02   8.712870883161e-01   2.255265241934e-01   1.007584205306e-03   1.745329329999e-01   1.687309140815e-02   5.820598671933e-01   
2.335757226415e+03   2.500000000000e+03   2.202136144401e+04   1.000000000000e-04   2.833463391707e-03   2.674530823399e+00   -5.411452064822e+02  5.249565749001e+01   4.995040319832e-08   4.995040319832e-08   5.220000000000e-08   9.770036454356e-01   1.601886558123e-07   1.149746032147e-02   1.149873405425e-02   3.023556878459e-02   4.592311997493e-05   2.244233246994e-02   5.078669373471e-02   8.964894818908e-01   1.699706597065e-01   5.163179203625e-04   1.346188763014e-01   1.914092283405e-02   6.757532232378e-01   
2.946709478177e+03   2.500000000000e+03   2.213741618387e+04   1.000000000000e-04   2.741939841503e-03   2.574572694403e+00   -5.292280365525e+02  5.295368967612e+01   5.910301239197e-08   5.910301239197e-08   5.220000000000e-08   9.802240904397e-01   1.609900717265e-07   9.887331392081e-03   9.888417178135e-03   2.590949010168e-02   3.389967919721e-05   1.936075882683e-02   5.086047719934e-02   9.038353741930e-01   1.513063420129e-01   3.959349593229e-04   1.206431846286e-01   1.991295951866e-02   7.077415788805e-01   
3.588792030358e+03   2.500000000000e+03   2.224278703392e+04   1.000000000000e-04   2.658993839685e-03   2.484862111758e+00   -5.336086066598e+02  5.336751338798e+01   6.739784101460e-08   6.739784101460e-08   5.220000000000e-08   9.831184972047e-01   1.617103528726e-07   8.440210750922e-03   8.441130334047e-03   2.204662220150e-02   2.466177047820e-05   1.657355606262e-02   5.092461804279e-02   9.104305419226e-01   1.333961177318e-01   2.984388636152e-04   1.070037465735e-01   2.065789307578e-02   7.386438037554e-01   
5.305084004150e+03   2.500000000000e+03   2.245733558891e+04   1.000000000000e-04   2.490539863874e-03   2.305204375730e+00   -5.404447505792e+02  5.420423222577e+01   8.424369706734e-08   8.424369706734e-08   5.220000000000e-08   9.889274530367e-01   1.631559295425e-07   5.535895055260e-03   5.536488752113e-03   1.436666741078e-02   1.057355991119e-05   1.093060562784e-02   5.104714995497e-02   9.236450034465e-01   9.370225169206e-02   1.379257059066e-04   7.607121743302e-02   2.232146031126e-02   8.077671448578e-01   
6.206794865003e+03   2.500000000000e+03   2.253950993300e+04   1.000000000000e-04   2.426170803347e-03   2.237438308610e+00   -5.452170606668e+02  5.452264246495e+01   9.068077641572e-08   9.068077641572e-08   5.220000000000e-08   9.911231540292e-01   1.637023371934e-07   4.438104567521e-03   4.438577700911e-03   1.148919104040e-02   6.786944537000e-06   8.780932212712e-03   5.109130178870e-02   9.286317880136e-01   7.720435620728e-02   9.121298127099e-05   6.296150946471e-02   2.301740916527e-02   8.367255121815e-01   
7.857065047335e+03   2.500000000000e+03   2.265081850497e+04   1.000000000000e-04   2.339109449902e-03   2.146549015955e+00   -5.488872161914e+02  5.495210906582e+01   9.938714451719e-08   9.938714451719e-08   5.220000000000e-08   9.940722451489e-01   1.644362290906e-07   2.963638493649e-03   2.963951921304e-03   7.646496009516e-03   3.021062844275e-06   5.879545698296e-03   5.114869402174e-02   9.353222432076e-01   5.355809001809e-02   4.232065394728e-05   4.394288200918e-02   2.401896440283e-02   8.784377429160e-01   
8.764724303181e+03   2.500000000000e+03   2.269562664125e+04   1.000000000000e-04   2.304103326143e-03   2.110250146704e+00   -5.503114810010e+02  5.512437220115e+01   1.028878499591e-07   1.028878499591e-07   5.220000000000e-08   9.952514143631e-01   1.647296697523e-07   2.374085315489e-03   2.374335591851e-03   6.117144386399e-03   1.937271887558e-06   4.714980696887e-03   5.117099890677e-02   9.379949387381e-01   4.358310995998e-02   2.760514657314e-05   3.584524528204e-02   2.444277414608e-02   8.961012654654e-01   
9.962468584284e+03   2.500000000000e+03   2.274155987951e+04   1.000000000000e-04   2.268241993489e-03   2.073210037967e+00   -5.506940421106e+02  5.530054483616e+01   1.064740782566e-07   1.064740782566e-07   5.220000000000e-08   9.964554952304e-01   1.650293098746e-07   1.772076768230e-03   1.772262972129e-03   4.559691781471e-03   1.078554639734e-06   3.523206755426e-03   5.119335065360e-02   9.407226722549e-01   3.306706191831e-02   1.564344028659e-05   2.726342437173e-02   2.489033785473e-02   9.147635324150e-01   
1.059713060309e+04   2.500000000000e+03   2.276101434289e+04   1.000000000000e-04   2.253060368004e-03   2.057573616511e+00   -5.536874530498e+02  5.537500986924e+01   1.079922809430e-07   1.079922809430e-07   5.220000000000e-08   9.969640526251e-01   1.651558663556e-07   1.517811475989e-03   1.517970743082e-03   3.903163438676e-03   7.909991330184e-07   3.019061248624e-03   5.120263954190e-02   9.418743447717e-01   2.852100200387e-02   1.155989914966e-05   2.353976472646e-02   2.508404125820e-02   9.228436321124e-01   
1.172350626229e+04   2.500000000000e+03   2.278897042654e+04   1.000000000000e-04   2.231251244619e-03   2.035157091537e+00   -5.547858770069e+02  5.548181697745e+01   1.101732508450e-07   1.101732508450e-07   5.220000000000e-08   9.976933955505e-01   1.653373662046e-07   1.153159173815e-03   1.153279938448e-03   2.962937888953e-03   4.563738233914e-07   2.295234909674e-03   5.121576394865e-02   9.435256068789e-01   2.188910651680e-02   6.743047344288e-06   1.809317483274e-02   2.536683340331e-02   9.346441421998e-01   
1.310952541539e+04   2.500000000000e+03   2.281437798040e+04   1.000000000000e-04   2.211436470060e-03   2.014837390336e+00   -5.561233683001e+02  5.557858636494e+01   1.121547805021e-07   1.121547805021e-07   5.220000000000e-08   9.983547969894e-01   1.655019585806e-07   8.224757645515e-04   8.225617441337e-04   2.111654181296e-03   2.320626006517e-07   1.638013565907e-03   5.122737351510e-02   9.450227266751e-01   1.575746022688e-02   3.463367470207e-06   1.304256678243e-02   2.562846688344e-02   9.455680427398e-01   
1.444631222894e+04   2.500000000000e+03   2.283197924665e+04   1.000000000000e-04   2.197711951102e-03   2.000789389168e+00   -5.577596875257e+02  5.564532349778e+01   1.135272684997e-07   1.135272684997e-07   5.220000000000e-08   9.988122178906e-01   1.656157896076e-07   5.937772490643e-04   5.938392445700e-04   1.523667996097e-03   1.209136058467e-07   1.183027691874e-03   5.123511588043e-02   9.460580675180e-01   1.144965483684e-02   1.817218784629e-06   9.485912440925e-03   2.581231083977e-02   9.532503046637e-01   
1.509365775723e+04   2.500000000000e+03   2.283865395447e+04   1.000000000000e-04   2.192507473173e-03   1.995467894693e+00   -5.566956378849e+02  5.567052082622e+01   1.140477299712e-07   1.140477299712e-07   5.220000000000e-08   9.989855288597e-01   1.656589187416e-07   5.071262788694e-04   5.071792024710e-04   1.301049450574e-03   8.818790745421e-08   1.010542197864e-03   5.123794488470e-02   9.464503752790e-01   9.802852848586e-03   1.328916559500e-06   8.124474598250e-03   2.588257591707e-02   9.561887677196e-01   
1.637643275563e+04   2.500000000000e+03   2.284914442643e+04   1.000000000000e-04   2.184326980980e-03   1.987109840791e+00   -5.571295593178e+02  5.570989967354e+01   1.148658006779e-07   1.148658006779e-07   5.220000000000e-08   9.992577786153e-01   1.657266691961e-07   3.710084840353e-04   3.710471740144e-04   9.515242762717e-04   4.719115591928e-08   7.394815698872e-04   5.124217930030e-02   9.470667676624e-01   7.199484870664e-03   7.141215868947e-07   5.970229925477e-03   2.599358953650e-02   9.608359815458e-01   
1.721072743125e+04   2.500000000000e+03   2.285440503444e+04   1.000000000000e-04   2.180223919937e-03   1.982920702214e+00   -5.572863818491e+02  5.572948693225e+01   1.152761175536e-07   1.152761175536e-07   5.220000000000e-08   9.993942549777e-01   1.657606318937e-07   3.027738494819e-04   3.028054121840e-04   7.763939446325e-04   3.142571192901e-08   6.035518740576e-04   5.124415227149e-02   9.473758704841e-01   5.886812686708e-03   4.765551842631e-07   4.883091164683e-03   2.604950680216e-02   9.631801127913e-01   
1.822701598395e+04   2.500000000000e+03   2.285952423739e+04   1.000000000000e-04   2.176230052654e-03   1.978845021638e+00   -5.574777655062e+02  5.574837859571e+01   1.156755147629e-07   1.156755147629e-07   5.220000000000e-08   9.995270514813e-01   1.657936788447e-07   2.363790461801e-04   2.364036788001e-04   6.060397707106e-04   1.915227496468e-08   4.712556265000e-04   5.124591406873e-02   9.476767713818e-01   4.604609096861e-03   2.910328456648e-07   3.820589188553e-03   2.610405648106e-02   9.654704542007e-01   
1.993649986746e+04   2.500000000000e+03   2.286572992832e+04   1.000000000000e-04   2.171385844781e-03   1.973904328388e+00   -5.577026245299e+02  5.577090993413e+01   1.161599482577e-07   1.161599482577e-07   5.220000000000e-08   9.996880591024e-01   1.658337462489e-07   1.558794134054e-04   1.558956504299e-04   3.995684295861e-04   8.327570717699e-09   3.108126346528e-04   5.124770518568e-02   9.480419054225e-01   3.043466263195e-03   1.268602755225e-07   2.526144224207e-03   2.617030973339e-02   9.682599529190e-01   
2.141061134829e+04   2.500000000000e+03   2.286935246411e+04   1.000000000000e-04   2.168555590893e-03   1.971019216713e+00   -5.578334347135e+02  5.578374405140e+01   1.164429810685e-07   1.164429810685e-07   5.220000000000e-08   9.997820972609e-01   1.658571480296e-07   1.088627725398e-04   1.088741093613e-04   2.790145661096e-04   4.061238940861e-09   2.170829894235e-04   5.124845475827e-02   9.482554436250e-01   2.128332331847e-03   6.195852973350e-08   1.766934748432e-03   2.620900029242e-02   9.698956706688e-01   
2.319509967543e+04   2.500000000000e+03   2.287230625528e+04   1.000000000000e-04   2.166245435786e-03   1.968665224891e+00   -5.579370374217e+02  5.579391329922e+01   1.166740026360e-07   1.166740026360e-07   5.220000000000e-08   9.998588378537e-01   1.658762452407e-07   7.049446516618e-05   7.050180494776e-05   1.806572377646e-04   1.702831262653e-09   1.405825150353e-04   5.124879156265e-02   9.484299669817e-01   1.379707167245e-03   2.600956957786e-08   1.145631681945e-03   2.624051162831e-02   9.712341235130e-01   
2.429164528493e+04   2.500000000000e+03   2.287357694428e+04   1.000000000000e-04   2.165250649744e-03   1.967651857441e+00   -5.579801236031e+02  5.579816823535e+01   1.167734838479e-07   1.167734838479e-07   5.220000000000e-08   9.998918789541e-01   1.658844676541e-07   5.397477111322e-05   5.398039043623e-05   1.383152027569e-04   9.982167624202e-10   1.076415660170e-04   5.124882535215e-02   9.485052168809e-01   1.056878546879e-03   1.525492296304e-08   8.776418498879e-04   2.625404315834e-02   9.718114211900e-01   
2.567385315424e+04   2.500000000000e+03   2.287476260756e+04   1.000000000000e-04   2.164321703455e-03   1.966705740767e+00   -5.580193338789e+02  5.580205091965e+01   1.168663809117e-07   1.168663809117e-07   5.220000000000e-08   9.999227308634e-01   1.658921452784e-07   3.854961577396e-05   3.855362888780e-05   9.878218875376e-05   5.091723473700e-10   7.688140958389e-05   5.124877570090e-02   9.485755601916e-01   7.551664442107e-04   7.785004076238e-09   6.271443707809e-04   2.626664765682e-02   9.723510337432e-01   
2.718882925736e+04   2.500000000000e+03   2.287567604274e+04   1.000000000000e-04   2.163605453398e-03   1.965976383388e+00   -5.580488939737e+02  5.580497122338e+01   1.169380077948e-07   1.169380077948e-07   5.220000000000e-08   9.999465172450e-01   1.658980646172e-07   2.665704109288e-05   2.665981600761e-05   6.830526135629e-05   2.434631174098e-10   5.316460215743e-05   5.124867169812e-02   9.486298581949e-01   5.223712729227e-04   3.723816760987e-09   4.338402566940e-04   2.627633899322e-02   9.727674457534e-01   
2.868988853989e+04   2.500000000000e+03   2.287630244447e+04   1.000000000000e-04   2.163113918542e-03   1.965475926163e+00   -5.580687348695e+02  5.580693122508e+01   1.169871625687e-07   1.169871625687e-07   5.220000000000e-08   9.999628401819e-01   1.659021266471e-07   1.849599545826e-05   1.849792076365e-05   4.739236206079e-05   1.172069748986e-10   3.688882007538e-05   5.124856084779e-02   9.486671578529e-01   3.625300830287e-04   1.793160437415e-09   3.011012870538e-04   2.628297272828e-02   9.730533941085e-01   
